S.N.,Symbol,Company,Units,Price,Opening Date,Closing Date,Last Closing Date,Listing Date,Issue Manager,Status,View
1,ICFCD89,8% ICFC  Finance Limited Debenture 2089,"500,000.00","1,000.00",2026-02-23,2026-02-26,2026-03-09,,Kumari Capital Ltmited,Closed,
2,MBLD8.25,8.25% Machhapuchchhre Perpetual Non-cumulative Preference Share,"30,000,000.00",100.00,Coming Soon,Coming Soon,Coming Soon,,Laxmi Sunrise Capital Limited,Coming Soon,
3,SANIMA8,8.25% Sanima  Perpetual Non-cumulative Preference Share,"20,000,000.00",100.00,Coming Soon,Coming Soon,Coming Soon,,Muktinath Capital Limited,Coming Soon,
4,NMBD2081/82,8.25% NMB Perpetual Non cumulative Preference Share 2081/82,"30,000,000.00",100.00,Coming Soon,Coming Soon,Coming Soon,,Siddhartha Capital Limited,Coming Soon,
5,KSBBL9,KSBBL 9% Perpetual Non cumulative Preference Share,"3,500,000.00",100.00,Coming Soon,Coming Soon,Coming Soon,,NIMB Ace Capital Limited,Coming Soon,
6,NABIL8,8% Nabil Perpetual Non cumulative Preference Share,"50,000,000.00",100.00,Coming Soon,Coming Soon,Coming Soon,,NIC Asia Capital Limited,Coming Soon,
7,NABILD2089,7% Nabil Debenture 2089,"3,000,000.00","1,000.00",2025-07-22,2025-07-26,2025-08-05,2025-11-12,Nepal SBI Merchant Banking Limited,Closed,
8,SHINED,Shine Resunga Debenture,"1,000,000.00","1,000.00",2025-07-16,2025-07-20,2025-07-30,2025-11-10,NIMB Ace Capital Limited,Closed,
9,SBID2090,7% Nepal SBI Bank Debenture 2090,"3,000,000.00",100.00,2025-07-14,2025-07-17,2025-07-28,2025-11-05,Nabil Investment Banking Limited,Closed,
10,SBLD2091,7.25% SBL Debenture 2091,"2,500,000.00","1,000.00",2025-07-13,2025-07-16,2025-07-27,2025-09-01,NMB Capital Limited,Closed,
11,NIFRAGED,6% Nifra Harit Urja Debenture 2088/89,"5,000,000.00","1,000.00",2025-06-01,2025-06-08,2025-06-15,2025-07-09,NIMB Ace Capital Limited,Closed,
12,RBBD2088,7% RBBL Debenture 2088,"2,500,000.00","1,000.00",2025-04-20,2025-04-25,2025-05-04,2025-07-30,Sanima Capital Limited,Closed,
