S.N.,Symbol,Company,Units,Price,Opening Date,Closing Date,Last Closing Date,Listing Date,Issue Manager,Status,View
1,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,"466,817.00",100.00,2026-01-05,2026-01-08,2026-01-19,,NMB Capital Limited,Closed,
2,HBL,Himalayan Bank Limited,"9,250,469.00",157.00,2025-07-16,2025-07-20,2025-07-30,2025-08-31,Citizens Capital Limited,Closed,
3,WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,"51,292.50",100.00,2025-04-03,2025-04-08,2025-04-17,2025-05-15,Nepal SBI Merchant Banking Limited,Closed,
4,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,"475,449.15",100.00,2024-12-20,2024-12-24,2025-01-03,2025-01-27,Laxmi Sunrise Capital Limited,Closed,
5,SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,"195,773.00",100.00,2025-03-02,2025-03-05,2025-03-16,2025-03-20,NMB Capital Limited,Closed,
6,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,"350,904.25",100.00,2024-10-28,2024-11-05,2024-11-11,2024-11-26,Muktinath Capital Limited,Closed,
7,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,"46,729.55",100.00,2024-07-19,2024-07-23,2024-08-02,2024-08-18,Kumari Capital Limited,Closed,
8,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,"178,451.18",100.00,2023-11-07,2023-11-10,2023-11-21,2023-12-04,Siddhartha Capital Ltd.,Closed,
9,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,"123,816.45",100.00,2023-10-12,2023-10-17,2023-10-26,2023-11-27,Nepal SBI Merchant Banking Ltd.,Closed,
10,UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,"379,425.00",100.00,2023-05-25,2023-05-31,2023-06-08,2023-06-18,Muktinath Capital Ltd.,Closed,
11,CZBIL,Citizens Bank International Limited,"463,826.00",200.00,2018-07-30,2018-08-03,2018-08-30,2018-09-02,Global IME Capital Ltd.,Closed,
12,NBL,Nepal Bank Limited,"17,684,858.00",280.00,2018-06-29,2018-07-29,2018-07-29,2018-11-11,Siddhartha Capital Ltd.,Closed,
13,NMB,NMB Bank Limited,"11,415,163.00",333.00,2018-06-13,2018-07-12,2018-07-12,2018-08-22,Citizen Investment Trust,Closed,
14,BPCL,Butwal Power Company Limited,"4,081,000.00",501.00,2018-01-28,2018-02-26,2018-02-27,2018-04-26,NMB Capital Limited,Closed,
15,PIC,Premier Insurance Company (Nepal) Limited,"659,565.00",799.00,2017-12-30,2018-01-02,2018-01-29,2018-03-23,NMB Capital Limited,Closed,
16,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,"975,000.00",100.00,2017-09-11,2017-09-14,2017-09-26,2017-10-31,Prabhu Capital Ltd,Closed,
17,PFL,Pokhara Finance Limited,"983,682.00",220.00,2017-08-12,2017-08-16,2017-08-27,2017-09-22,NIBL Capital Market Ltd.,Closed,
18,SCB,Standard Chartered Bank Nepal Limited,"2,558,140.00","1,290.00",2017-03-13,2017-03-16,2017-03-28,2017-05-16,NMB Capital Limited,Closed,
19,NLIC,Nepal Life Insurance Company Limited,"3,096,429.00","1,425.00",2017-01-10,2017-01-14,2017-01-25,2017-04-20,Siddhartha Capital Limited,Closed,
20,SBI,Nepal SBI Bank Limited,"67,768.00",971.00,2016-12-25,2016-12-28,2017-01-08,2017-03-06,NMB Capital Limited,Closed,
21,NIB,Nepal Investment Bank Limited,"9,069,388.00",601.00,2016-02-22,2016-02-25,2016-03-10,2016-06-27,Citizen Investment Trust Ltd.,Closed,
22,RLFL,Reliance Finance Limited,"514,286.00",100.00,2015-12-19,2015-12-22,2016-01-03,2016-04-26,NCM Merchant Banking Ltd.,Closed,
23,SICL,Shikhar Insurance Company Limited,"510,988.00",650.00,2015-12-02,2015-12-06,2015-12-17,2016-01-24,NIBL Capital Markets Ltd.,Closed,
