S.N.,Symbol,Company,Units,Price,Opening Date,Closing Date,Last Closing Date,Listing Date,Issue Manager,Status,View
1,PALPA,Palpa Cements Industries Limited,"4,500,000.00",100.00,2026-02-24,2026-02-27,2026-03-10,,Nabil Investment Banking Ltd.,Closed,
2,SPDPL,Shikhar Power Development Limited,"1,842,600.00",100.00,2026-03-01,2026-03-10,2026-03-15,,Global IME Capital Ltd,Open,
3,KHPL,Kalinchowk Hydropower Limited,"1,375,000.00",100.00,Coming Soon,Coming Soon,Coming Soon,,RBB Merchant Banking Ltd,Coming Soon,
4,APPOLO,Appolo Hydropower Limited,"1,410,000.00",100.00,Coming Soon,Coming Soon,Coming Soon,,Himalayan Capital Limited,Coming Soon,
5,SRL,Snow Rivers Limited,"1,875,000.00",100.00,Coming Soon,Coming Soon,Coming Soon,,Sanima Capital Limited,Coming Soon,
6,SKHL,Super Khudi Hydropower Limited,"1,286,500.00",100.00,2026-02-17,2026-02-23,2026-03-03,,Global IME Capital Ltd,Closed,
7,HFIL,Hotel Forest Inn Limited,"3,320,000.00",100.00,2026-02-05,2026-02-09,2026-02-20,,NIC Asia Capital Limited,Closed,
8,RIDGE,Ridge Line Energy Limited,"1,180,260.00",100.00,2026-02-11,2026-02-16,2026-02-25,,Prabhu Capital Limited,Closed,
9,SKHCL,Suryakunda Hydro Electric Limited,"572,431.00",100.00,2026-02-01,2026-02-04,2026-02-15,,Kumari Capital Limited,Closed,
10,BJHL,Bhujung Hydropower Limited,"830,000.00",100.00,2026-01-26,2026-01-29,2026-02-09,,Kumari Capital Limited,Closed,
11,SHPL,Solu Hydropower Limited,"8,200,000.00",100.00,2026-01-13,2026-01-18,2026-01-28,,Nabil Investment Banking Limited,Closed,
12,SABBL,Salapa Bikas Bank Limited,"1,439,179.00",100.00,2025-12-31,2026-01-04,2026-01-14,2026-02-13,Muktinath Capital Limited,Closed,
13,RSML,Reliance Spinning Mills Limited,"924,768.00",820.80,2025-12-22,2025-12-26,2026-01-05,2026-02-13,Global IME Capital Limited,Closed,
14,SYPNL,SY Panel Nepal Limited,"4,076,156.00",100.00,2025-11-05,2025-11-09,2025-11-19,2025-12-09,Prabhu Capital Limited,Closed,
15,SAIL,Shreenagar Agritech Industries Limited,"2,510,493.00",100.00,2025-10-12,2025-10-15,2025-10-26,2025-11-21,Nabil Investment Banking Limited,Closed,
16,JHAPA,Jhapa Energy Limited,"473,336.00",100.00,2025-09-05,2025-09-15,2025-09-19,2025-11-14,Himalayan Capital Limited,Closed,
17,SAGAR,Sagar Distillery Limited,"1,190,640.00",100.00,2025-09-15,2025-09-21,2025-09-29,2025-11-06,Muktinath Capital Limited,Closed,
18,BANDIPUR,Bandipur Cable Car and Tourism Limited,"4,341,080.00",100.00,2025-08-27,2025-08-31,2025-09-10,2025-11-10,Nepal SBI Merchant Banking Limited,Closed,
19,BUNGAL,Bungal Hydro Limited,"1,701,500.00",100.00,2025-09-01,2025-09-04,2025-09-15,2025-11-09,Himalayan Capital Limited,Closed,
20,MABEL,Mabilung Energy Limited,"1,248,904.00",100.00,2025-08-11,2025-08-14,2025-08-25,2025-11-03,LS Capital Limited,Closed,
21,DHEL,Daramkhola Hydro Energy Limited,"2,423,185.00",100.00,2025-07-31,2025-08-04,2025-08-14,2025-11-05,Laxmi Sunrise Capital Limited,Closed,
22,SWASTIK,Swastik Laghubitta Bittiya Sanstha Limited,"195,195.00",100.00,2025-08-15,2025-08-19,2025-08-29,2025-11-10,Nabil Investment Banking Limited,Closed,
23,TTL,Trade Tower Limited,"3,296,505.19",100.00,2025-05-28,2025-06-03,2025-06-11,2025-07-15,LS Capital Limited,Closed,
24,HIMSTAR,Him Star Urja Company Limited,"773,975.00",100.00,2025-07-08,2025-07-11,2025-07-22,2025-08-28,NIC Asia Capital Limited,Closed,
25,SANVI,Sanvi Energy Limited,"2,415,300.00",100.00,2025-05-23,2025-05-27,2025-06-06,2025-07-17,Nepal SBI Merchant Banking Limited,Closed,
26,BHCL,Bikash Hydropower Company Limited,"2,942,760.00",100.00,2025-07-02,2025-07-06,2025-07-16,2025-08-19,Prabhu Capital Ltd.,Closed,
27,PURE,Pure Energy Limited,"1,195,200.00",100.00,2025-04-10,2025-04-15,2025-04-24,2025-05-26,Nabil Investment Banking Limited,Closed,
28,OMPL,Om Megashree Pharmaceuticals Limited,"1,476,000.00",100.00,2025-03-11,2025-03-16,2025-03-25,2025-04-30,Prabhu Capital Limited,Closed,
29,CREST,Crest Micro Life Insurance Limited,"1,845,000.00",100.00,2025-03-06,2025-03-10,2025-03-20,2025-04-09,NIMB Ace Capital Ltd.,Closed,
30,SARBTM,Sarbottam Cement Limited,"2,776,076.00",360.90,2024-02-25,2024-02-28,2024-03-10,2024-03-18,Global IME Capital Ltd,Closed,
31,NMIC,Nepal Micro Insurance Company Limited,"1,845,000.00",100.00,2025-02-23,2025-02-27,2025-03-09,2025-04-03,NIMB Ace Capital Ltd,Closed,
32,GMLI,Guardian Micro Life Insurance Limited,"1,845,000.00",100.00,2025-01-05,2025-01-08,2025-01-19,2025-02-06,Kumari Capital Ltd,Closed,
33,HRL,Himalayan Reinsurance Limited,"24,900,000.00",206.00,2023-12-13,2023-12-18,2023-12-27,2024-01-07,NMB Capital Limited,Closed,
34,NWCL,Nepal Warehousing Company Limited,"1,141,250.00",100.00,2023-11-26,2023-11-29,2023-12-10,2023-12-20,Himalayan Capital Ltd,Closed,
35,MKCL,Muktinath Krishi Company Limited,"1,148,000.00",100.00,2023-11-24,2023-11-28,2023-12-08,2023-12-13,NIMB Ace Capital Limited,Closed,
36,VLUCL,Vision Lumbini Urja Company Limited,"2,075,285.00",100.00,2023-11-02,2023-11-06,2023-11-17,2023-12-20,Muktinath Capital Ltd.,Closed,
37,TAKSAR,Taksar Pikhuwa Khola Hydropower Limited,"2,515,455.00",100.00,Coming Soon,Coming Soon,Coming Soon,,Prabhu Capital Limited,Coming Soon,
38,BENI,Beni Hydropower Project Limited,"2,080,000.00",100.00,Coming Soon,Coming Soon,Coming Soon,,NMB Capital Limited,Coming Soon,
