S.N.,Symbol,Company,Units,Price,Opening Date,Closing Date,Last Closing Date,Listing Date,Issue Manager,Status,View
1,KHPL,Kalinchowk Hydropower Limited,"550,000.00",100.00,2026-02-25,2026-03-11,2026-03-26,,RBB Merchant Banking Ltd,Open,
2,APPOLO,Appolo Hydropower Limited,"470,000.00",100.00,2026-02-23,2026-03-24,2026-03-24,,Himalayan Capital Limited,Open,
3,BENI,Beni Hydropower Project Limited,"1,040,000.00",100.00,2026-03-15,2026-03-29,2026-04-13,,NMB Capital Limited,Coming Soon,
4,TAKSAR,Taksar Pikhuwa Khola Hydropower Limited,"1,200,000.00",100.00,2026-03-11,2026-03-25,2026-04-09,,Prabhu Capital Limited,Coming Soon,
5,SPDPL,Shikhar Power Development Limited,"980,000.00",100.00,2026-01-20,2026-02-04,2026-02-20,,Global IME Capital Ltd,Closed,
6,PALPA,Palpa Cements Industries Limited,"1,875,000.00",100.00,2026-01-09,2026-01-25,2026-02-08,,Nabil Investment Banking Ltd.,Closed,
7,SKHL,Super Khudi Hydropower Limited,"1,550,000.00",100.00,2026-01-06,2026-01-22,2026-02-04,,Global IME Capital Ltd,Closed,
8,RIDGE,Ridge Line Energy Limited,"1,185,000.00",100.00,2025-12-28,2026-01-12,2026-01-26,,Prabhu Capital Limited,Closed,
9,SKHCL,Suryakunda Hydro Electric Limited,"689,675.00",100.00,2025-12-24,2026-01-07,2026-01-22,,Kumari Capital Limited,Closed,
10,BJHL,Bhujung Hydropower Limited,"1,000,000.00",100.00,2025-12-18,2026-01-01,2026-01-16,,Kumari Capital Limited,Closed,
11,SHPL,Solu Hydropower Limited,"10,000,000.00",100.00,2025-11-23,2025-12-07,2025-12-22,,Nabil Investment Banking Limited,Closed,
12,SYPNL,SY Panel Nepal Limited,"261,627.00",100.00,2025-09-23,2025-10-07,2025-10-26,2025-12-09,Prabhu Capital Limited,Closed,
13,SAIL,Shreenagar Agritech Industries Limited,"163,125.00",100.00,2025-08-27,2025-09-16,2025-09-25,2025-11-21,Nabil Investment Banking Limited,Closed,
14,JHAPA,Jhapa Energy Limited,"380,190.00",100.00,2025-07-30,2025-08-13,2025-08-28,2025-11-14,Himalayan Capital Limited,Closed,
15,BANDIPUR,Bandipur Cable Car and Tourism Limited,"566,000.00",100.00,2025-07-22,2025-08-05,2025-08-20,2025-11-10,Nepal SBI Merchant Banking Limited,Closed,
16,BUNGAL,Bungal Hydro Limited,"830,000.00",100.00,2025-07-13,2025-08-11,2025-08-11,2025-11-09,Himalayan Capital Limited,Closed,
17,MABEL,Mabilung Energy Limited,"385,824.00",100.00,2025-07-06,2025-07-20,2025-08-04,2025-11-03,LS Capital Limited,Closed,
18,DHEL,Daramkhola Hydro Energy Limited,"1,030,500.00",100.00,2025-06-23,2025-07-07,2025-07-22,2025-11-05,Laxmi Sunrise Capital Limited,Closed,
19,HIMSTAR,Him Star Urja Company Limited,"186,500.00",100.00,2025-06-13,2025-06-27,2025-07-13,2025-08-28,NIC Asia Capital Limited,Closed,
20,BHCL,Bikash Hydropower Company Limited,"909,101.00",100.00,2025-05-20,2025-06-03,2025-06-18,2025-08-19,Prabhu Capital Ltd.,Closed,
21,SANVI,Sanvi Energy Limited,"880,000.00",100.00,2025-04-18,2025-05-02,2025-05-17,2025-07-17,Nepal SBI Merchant Banking Limited,Closed,
22,PURE,Pure Energy Limited,"160,000.00",100.00,2025-03-04,2025-03-18,2025-04-02,2025-05-26,Nabil Investment Banking Limited,Closed,
23,SARBTM,Sarbottam Cement Limited,"930,000.00",360.90,2024-01-10,2024-02-08,2024-02-08,2024-03-18,Global IME Capital Ltd,Closed,
24,VLUCL,Vision Lumbini Urja Company Limited,"1,912,500.00",100.00,2023-09-05,2023-10-04,2023-10-04,2023-12-20,Muktinath Capital Limited,Closed,
25,SONA,Sonapur Minerals and Oil Limited,"1,537,525.00",225.00,2023-08-14,2023-09-12,2023-09-12,2023-10-19,NIMB Ace Capital Limited,Closed,
26,CKHL,Chirkhwa Hydro Power Limited,"400,000.00",100.00,2023-08-13,2023-09-11,2023-09-11,2023-12-20,RBB Merchant Banking Limited,Closed,
27,MSHL,Mid Solu Hydropower Company Limited,"748,400.00",100.00,2023-07-30,2023-08-15,2023-08-28,2023-10-11,NIC Asia Capital Limited,Closed,
28,MANDU,Mandu Hydropower Limited,"272,730.00",206.00,2023-07-13,2023-08-11,2023-08-11,2023-10-10,Prabhu Capital Limited,Closed,
