S.N.,Symbol,Company,Units,Price,Opening Date,Closing Date,Last Closing Date,Listing Date,Issue Manager,Status,View
1,KHPL,Kalinchowk Hydropower Limited,"82,500.00",100.00,2026-02-25,2026-03-01,2026-03-11,,RBB Merchant Banking Ltd,Closed,
2,TAKSAR,Taksar Pikhuwa Khola Hydropower Limited,"303,067.00",100.00,2026-03-11,2026-03-15,2026-03-25,,Prabhu Capital Limited,Coming Soon,
3,BENI,Beni Hydropower Project Limited,"104,000.00",100.00,2026-03-15,2026-03-19,2026-03-29,,NMB Capital Limited,Coming Soon,
4,APPOLO,Appolo Hydropower Limited,"94,000.00",100.00,2026-02-23,2026-02-26,2026-03-09,,Himalayan Capital Limited,Closed,
5,HFIL,Hotel Forest Inn Limited,"400,000.00",100.00,2026-01-18,2026-01-22,2026-02-01,,NIC Asia Capital Limited,Closed,
6,SPDPL,Shikhar Power Development Limited,"222,000.00",100.00,2026-01-20,2026-01-23,2026-02-03,,Global IME Capital Ltd,Closed,
7,PALPA,Palpa Cements Industries Limited,"562,500.00",100.00,2026-01-09,2026-01-14,2026-01-23,,Nabil Investment Banking Ltd.,Closed,
8,SKHL,Super Khudi Hydropower Limited,"155,000.00",100.00,2026-01-06,2026-01-09,2026-01-20,,Global IME Capital Ltd,Closed,
9,SKHCL,Suryakunda Hydro Electric Limited,"68,967.00",100.00,2025-12-24,2025-12-29,2026-01-07,,Kumari Capital Limited,Closed,
10,BJHL,Bhujung Hydropower Limited,"100,000.00",100.00,2025-12-18,2025-12-22,2026-01-01,,Kumari Capital Limited,Closed,
11,RIDGE,Ridge Line Energy Limited,"142,200.00",100.00,2025-12-28,2026-01-01,2026-01-12,,Prabhu Capital Limited,Closed,
12,RSML,Reliance Spinning Mills Limited,"115,596.00",820.80,2025-12-08,2025-12-11,2025-12-22,2026-02-13,Global IME Capital Ltd,Closed,
13,SABBL,Salapa Bikas Bank Limited,"172,388.00",100.00,2025-12-11,2025-12-15,2025-12-25,2026-02-13,Muktinath Capital Limited,Closed,
14,SHPL,Solu Hydropower Limited,"1,000,000.00",100.00,2025-11-23,2025-11-26,2025-12-07,,Nabil Investment Banking Limited,Closed,
15,SYPNL,SY Panel Nepal Limited,"497,092.00",100.00,2025-09-23,2025-09-26,2025-10-07,2025-12-09,Prabhu Capital Limited,Closed,
16,SAIL,Shreenagar Agritech Industries Limited,"309,938.00",100.00,2025-08-27,2025-08-31,2025-09-10,2025-11-21,Nabil Investment Banking Limited,Closed,
17,SAGAR,Sagar Distillery Limited,"145,200.00",100.00,2025-08-13,2025-08-17,2025-08-27,2025-11-06,Muktinath Capital Limited,Closed,
18,JHAPA,Jhapa Energy Limited,"57,029.00",100.00,2025-07-30,2025-08-03,2025-08-13,2025-11-14,Himalayan Capital Limited,Closed,
19,BANDIPUR,Bandipur Cable Car and Tourism Limited,"529,400.00",100.00,2025-07-22,2025-07-25,2025-09-05,2025-11-10,Nepal SBI Merchant Banking Limited,Closed,
20,BUNGAL,Bungal Hydro Limited,"207,500.00",100.00,2025-07-13,2025-07-27,2025-07-27,2025-11-09,Himalayan Capital Limited,Closed,
21,SWASTIK,Swastik Laghubitta Bittiya Sanstha Limited,"23,100.00",100.00,2025-07-11,2025-07-25,2025-07-25,2025-11-10,Nabil Investment Banking Limited,Closed,
22,MABEL,Mabilung Energy Limited,"150,471.00",100.00,2025-07-06,2025-07-20,2025-07-20,2025-11-03,LS Capital Limited,Closed,
23,DHEL,Daramkhola Hydro Energy Limited,"291,950.00",100.00,2025-06-23,2025-07-07,2025-07-07,2025-11-05,Laxmi Sunrise Capital Limited,Closed,
24,HIMSTAR,Him Star Urja Company Limited,"93,250.00",100.00,2025-06-13,2025-06-27,2025-06-27,2025-08-28,NIC Asia Capital Limited,Closed,
25,BHCL,Bikash Hydropower Company Limited,"354,550.00",100.00,2025-05-20,2025-06-03,2025-06-03,2025-08-19,Prabhu Capital Ltd.,Closed,
