S.N.,Symbol,Company,Units,Price,Opening Date,Closing Date,Last Closing Date,Listing Date,Issue Manager,Status,View
1,GSYA,Garima Subarna Yojana,"100,000,000.00",10.00,2026-03-12,2026-03-16,2026-03-26,,Garima Capital Limited,Coming Soon,
2,NLSLY,Nepal Life Samriddhi Lagani Yojana,"160,000,000.00",10.00,2026-01-18,2026-01-23,2026-02-01,,Nepal Life Capital Limited,Closed,
3,CSY,Citizens Santulit Yojana,"100,000,000.00",10.00,2025-12-19,2026-01-02,2026-01-02,2026-02-09,Citizens Capital Limited,Closed,
4,MSY,Machhapuchchhre SIP Yojana,"50,000,000.00",10.00,2025-11-30,2025-12-03,2025-12-14,,Machhapuchchhre Capital Limited,Closed,
5,HLICF,HLI Large Cap Fund,"400,000,000.00",10.00,2025-08-31,2025-09-04,2025-09-14,2025-11-04,Himalayan Investment Banker Limited,Closed,
6,RBBF40,RBB Focus 40,"100,000,000.00",10.00,2025-09-03,2025-09-09,2025-09-17,2025-12-03,RBB Merchant Banking Limited,Closed,
7,ELIS,NIC ASIA Equity Linked Investment Scheme,"100,000,000.00",10.00,2025-08-14,2025-08-28,2025-08-28,,NIC Asia Capital Limited,Closed,
8,NI31,NI 31,"25,000,000.00",10.00,2025-08-15,2025-08-19,2025-08-29,,Nabil Investment Banking Ltd.,Closed,
9,CSBY,Citizens Sadabahar Yojana,"50,000,000.00",10.00,2025-06-27,2025-07-11,2025-07-11,,Citizens Capital Limited,Closed,
10,GBIMESY2,Global IME Samunnat Yojana -II,"120,000,000.00",10.00,2025-07-06,2025-07-11,2025-07-20,2025-08-24,Global IME Capital Limited,Closed,
11,PSIS,Prabhu Systematic Investment Scheme,"25,000,000.00",10.00,2025-06-06,2025-06-20,2025-06-20,,Prabhu Capital Ltd.,Closed,
12,RSY,Reliable Samriddhi Yojana,"100,000,000.00",10.00,2025-04-16,2025-04-22,2025-04-30,2025-06-23,Reliable Investment and Merchant Capital Limited,Closed,
13,MBLEF,MBL Equity Fund,"120,000,000.00",10.00,2025-03-06,2025-03-20,2025-03-20,2025-05-21,RBB Merchant Banking Limited,Closed,
14,NMBHF2,NMB Hybrid Fund L-II,"120,000,000.00",10.00,2025-02-06,2025-02-20,2025-02-20,2025-04-20,NMB Capital Ltd,Closed,
15,SFF,Sanima Flexi Fund,"100,000,000.00",10.00,2025-02-18,2025-02-27,2025-03-04,,Sanima Capital Limited,Closed,
16,GSY,Garima Samriddhi Yojana,"100,000,000.00",10.00,2024-12-22,2024-12-26,2025-01-05,2025-02-13,Garima Capital Limited,Closed,
17,MNMF1,Muktinath Mutual Fund 1,"100,000,000.00",10.00,2024-12-05,2024-12-10,2024-12-19,2025-01-06,Muktinath Capital Limited,Closed,
18,KSY,Kumari Sabal Yojana,"100,000,000.00",10.00,2024-02-11,2024-02-25,2024-02-25,2024-03-19,Kumari Capital Ltd,Closed,
19,NIBLSTF,NIBL Stable Fund,"100,000,000.00",10.00,2024-01-16,2024-01-30,2024-01-30,2024-05-30,NIMB Ace Capital Limited,Closed,
20,NICGF2,NIC Asia Growth Fund 2,"100,000,000.00",10.00,2023-11-20,2023-12-04,2023-12-04,2024-02-05,Nic Asia Capital Ltd.,Closed,
21,H8020,Himalayan 80-20,"100,000,000.00",10.00,2023-08-17,2023-09-01,2023-09-01,2023-12-13,Himalayan Capital Limited,Closed,
22,LVF2,Laxmi Value Fund-II,"80,000,000.00",10.00,2023-07-21,2023-08-04,2023-08-04,2023-09-13,Laxmi Capital Market Ltd,Closed,
23,C30MF,Citizens Super 30 Mutual Fund,"100,000,000.00",10.00,2023-04-19,2023-05-03,2023-05-03,2023-08-08,Citizens Capital Ltd,Closed,
24,SIGS3,Siddhartha Investment Growth Scheme 3,"120,000,000.00",10.00,2023-04-09,2023-04-23,2023-04-23,2023-07-16,Siddhartha Capital Ltd.,Closed,
25,RMF2,RBB Mutual Fund 2,"120,000,000.00",10.00,2023-04-30,2023-05-14,2023-05-14,2023-06-26,RBB Merchant Banking Ltd.,Closed,
26,KSLY,Kumari Sunaulo Lagani Yojana,"100,000,000.00",10.00,2023-03-23,2023-04-06,2023-04-06,,Kumari Capital Ltd,Closed,
27,PRSF,Prabhu Smart Fund,"80,000,000.00",10.00,2023-03-02,2023-03-12,2023-03-19,2023-06-06,Prabhu Capital Limited,Closed,
28,SFEF,Sunrise Focused Equity Fund,"120,000,000.00",10.00,2023-01-24,2023-02-07,2023-02-07,2023-04-05,Sunrise Capital Ltd.,Closed,
29,NIBLGF,NIBL Growth Fund,"160,000,000.00",10.00,2022-12-22,2023-01-05,2023-01-05,2023-02-07,NIBL Ace Capital Ltd,Closed,
30,NFCF,Nabil Flexi Cap Fund,"75,000,000.00",10.00,2022-11-09,2022-11-23,2022-11-23,,Nabil Investment Banking Ltd,Closed,
31,SAGF,Sanima Growth Fund,"120,000,000.00",10.00,2022-11-02,2022-11-16,2022-11-16,2023-02-07,Sanima Capital Ltd,Closed,
