S.N.,Symbol,Company,Ratio,Units,Price,Opening Date,Closing Date,Book Closure Date,Listing Date,Issue Manager,Status,View,Eligibility Check
1,UAIL,United Ajod Insurance Limited,1:0.10,"2,310,000.00",100.00,Coming Soon,Coming Soon,2026-03-01,,Laxmi Sunrise Capital Limited,Coming Soon,,
2,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,1:1,"4,000,000.00",100.00,Coming Soon,Coming Soon,2026-02-13,,NIC Asia Capital,Coming Soon,,
3,RFPL,River Falls Power Limited,1:1,"7,000,000.00",100.00,2025-09-08,2025-10-12,2025-08-11,2025-12-17,Prabhu Capital Limited,Closed,,
4,CITY,City Hotel Limited,1:0.80,"13,392,000.00",100.00,2025-09-08,2025-10-12,2025-08-12,2025-12-11,Prabhu Capital Limited,Closed,,
5,NABBC,Narayani Development Bank Limited,1: 1,"2,624,676.00",100.00,2025-09-18,2025-10-26,2025-08-25,,Global IME Capital ltd.,Closed,,
6,JOSHI,Joshi Hydropower Development Company Limited,1:0.65,"2,414,100.00",100.00,2025-07-31,2025-09-04,2025-06-22,2025-11-26,LS Capital Limited,Closed,,
7,SSHL,Shiva Shree Hydropower Limited,1:1,"14,764,000.00",100.00,2025-09-04,2025-10-09,2025-08-01,2025-12-17,Citizens Capital Limited,Closed,,
8,KKHC,Khani Khola Hydropower Company Limited,1:1,"4,657,143.00",100.00,2025-08-19,2025-09-21,2025-07-11,2025-12-12,Citizens Capital Limited,Closed,,
9,BARUN,Barun Hydropower Company Limited,1:1,"5,358,150.00",100.00,2025-07-15,2025-08-19,2025-06-05,2025-11-13,RBB Merchant Banking Limited,Closed,,
10,NICL,Nepal Insurance Company Limited,10:3.4783,"6,576,967.76",100.00,2025-07-22,2025-08-18,2025-06-13,2025-11-04,NIMB Ace Capital Limited,Closed,,
11,TPC,Terhathum Power Company Limited,1:1,"4,000,000.00",100.00,2025-06-30,2025-07-27,2025-05-19,2025-09-25,Nabil Investment Banking Limited,Closed,,
12,ALICL,Asian Life Insurance Company Limited,1:0.42,"14,279,312.48",100.00,2025-07-09,2025-08-05,2025-05-30,2025-11-04,Muktinath Capital Limited,Closed,,
13,PPL,People's Power Limited,1:0.5,"3,163,000.00",100.00,2025-07-06,2025-08-11,2025-06-16,2025-10-31,Prabhu Capital Limited,Closed,,
14,CHL,Chhyangdi Hydropower Company Limited,1:1,"3,869,775.00",100.00,2025-06-06,2025-07-11,2025-05-16,2025-08-25,Global Ime Capital Limited,Closed,,
15,RHGCL,Rapti Hydro &amp; General Construction Limited,1:1,"6,127,938.00",100.00,2025-06-15,2025-07-08,2025-05-20,2025-09-23,Muktinath Capital Limited,Closed,,
16,DORDI,Dordi Khola Hydropower Company Limited,1:1,"10,542,604.00",100.00,2025-04-01,2025-04-27,2025-02-27,2025-08-31,Sanima Capital Limited,Closed,,
17,SNLI,Sun Nepal Life Insurance Company Limited,1:0.27,"10,696,320.00",100.00,2025-05-13,2025-06-17,2025-04-18,2025-07-14,Nepal SBI Merchant Banking Limited,Closed,,
18,NIL,Neco Insurance Limited,1:0.25,"5,030,901.55",100.00,2025-02-20,2025-03-27,2025-01-31,2025-06-12,Sanima Capital Limited,Closed,,
19,NGPL,Ngadi Group Power Limited,1:1,"18,512,792.23",100.00,2025-01-07,2025-02-11,2024-12-03,2025-04-01,Siddhartha Capital Limited,Closed,,
20,BHL,Balephi Hydropower Limited,1:1,"18,279,700.00",100.00,2024-12-12,2025-01-01,2024-11-06,2025-04-01,NIMB Ace Capital Limited,Closed,,
21,LICN,Life Insurance Corporation Nepal Limited,1:0.8845168,"23,468,000.00",100.00,2024-11-27,2025-01-01,2024-10-25,2025-03-16,Nepal SBI Merchant Banking Limited,Closed,,
22,NLG,NLG Insurance Company Limited,10:6.256,"9,631,220.22",100.00,2024-11-26,2024-12-31,2024-11-12,2025-03-09,LS Capital Limited,Closed,,
23,LEC,Liberty Energy Company Limited,1:0.5,"7,500,000.00",100.00,2024-12-01,2024-12-22,2024-11-06,2025-02-14,Prabhu Capital Limited,Closed,,
24,AKJCL,Ankhukhola Hydropower Company Limited,1:1.5,"12,000,000.00",100.00,2024-08-11,2024-09-01,2024-07-16,2024-11-11,Nabil Investment Banking Limited,Closed,,
25,HURJA,Himalaya Urja Bikas Company Limited,1:1,"9,900,000.00",100.00,2024-08-08,2024-08-28,2024-07-04,2024-10-29,Nabil Investment Banking Limited,Closed,,
26,MMHPL,Middle Modi Hydropower Limited,1:0.6024,"4,879,719.00",100.00,2024-07-09,2024-07-28,Coming Soon,,,Closed,,
27,NLCL,Nepal Life Capital Limited (Former National Merchant Banker Limited),1:0.50,"1,499,518.00",100.00,2024-06-25,2024-07-09,2024-07-09,,,Closed,,
