date,gold_price,silver_price
2021-05-03,90600,1325
2021-05-04,90300,1320
2021-05-05,90600,1315
2021-05-06,91700,1350
2021-05-07,91700,1350
2021-05-08,91800,1345
2021-05-09,92000,1360
2021-05-10,92300,1345
2021-05-11,92000,1345
2021-05-12,91600,1335
2021-05-13,91600,1330
2021-05-14,91600,1330
2021-05-15,92500,1350
2021-05-16,92800,1355
2021-05-17,93400,1390
2021-05-18,93300,1370
2021-05-19,93700,1360
2021-05-20,93300,1350
2021-05-21,93300,1350
2021-05-22,93600,1345
2021-05-23,93700,1350
2021-05-24,93500,1350
2021-05-25,93500,1350
2021-05-26,94200,1350
2021-05-27,93800,1350
2021-05-28,93800,1350
2021-05-29,94000,1355
2021-05-30,94200,1360
2021-05-31,94500,1370
2021-06-01,94500,1360
2021-06-02,94900,1375
2021-06-03,93400,1340
2021-06-04,93400,1340
2021-06-05,94100,1355
2021-06-06,93800,1350
2021-06-07,94100,1355
2021-06-08,94200,1350
2021-06-09,93900,1355
2021-06-10,94500,1370
2021-06-11,94500,1370
2021-06-12,93900,1370
2021-06-13,93200,1365
2021-06-14,93200,1355
2021-06-15,93100,1360
2021-06-16,92000,1340
2021-06-17,90800,1305
2021-06-18,90800,1305
2021-06-19,90000,1290
2021-06-20,90400,1295
2021-06-21,91000,1300
2021-06-22,90700,1295
2021-06-23,90500,1295
2021-06-24,90500,1300
2021-06-25,90500,1300
2021-06-26,90500,1300
2021-06-27,90700,1305
2021-06-29,90000,1290
2021-06-30,90800,1310
2021-07-01,91300,1310
2021-07-02,91300,1310
2021-07-03,91500,1325
2021-07-04,91500,1325
2021-07-05,91800,1330
2021-07-06,92200,1320
2021-07-07,92300,1310
2021-07-08,92400,1305
2021-07-09,92400,1305
2021-07-10,92400,1315
2021-07-11,92200,1310
2021-07-12,92400,1320
2021-07-13,92700,1315
2021-07-14,93200,1320
2021-07-15,93200,1320
2021-07-16,93200,1320
2021-07-17,92600,1295
2021-07-18,92800,1290
2021-07-19,93200,1280
2021-07-20,92500,1260
2021-07-21,91800,1270
2021-07-22,92100,1280
2021-07-23,92100,1280
2021-07-24,92000,1270
2021-07-25,92100,1270
2021-07-26,91800,1270
2021-07-27,92100,1255
2021-07-28,92400,1270
2021-07-29,92900,1285
2021-07-30,92900,1285
2021-07-31,92400,1285
2021-08-01,92300,1285
2021-08-02,92300,1275
2021-08-03,92000,1285
2021-08-04,92000,1275
2021-08-05,91500,1265
2021-08-06,91500,1265
2021-08-07,90000,1245
2021-08-08,89000,1215
2021-08-09,89200,1205
2021-08-10,88800,1190
2021-08-11,89400,1190
2021-08-12,89700,1185
2021-08-13,89700,1185
2021-08-14,90700,1205
2021-08-15,90600,1200
2021-08-16,91000,1210
2021-08-17,91000,1210
2021-08-18,90800,1180
2021-08-19,91200,1195
2021-08-20,91200,1195
2021-08-21,90900,1180
2021-08-22,91100,1190
2021-08-23,91600,1200
2021-08-24,91300,1210
2021-08-25,91100,1210
2021-08-26,91600,1200
2021-08-27,91600,1200
2021-08-28,91600,1210
2021-08-29,91600,1210
2021-08-30,91600,1210
2021-08-31,91000,1195
2021-09-01,90800,1205
2021-09-02,90900,1195
2021-09-03,90900,1195
2021-09-04,91500,1230
2021-09-05,91400,1230
2021-09-06,91400,1230
2021-09-07,90700,1220
2021-09-08,90600,1210
2021-09-09,90700,1215
2021-09-10,90700,1215
2021-09-11,90300,1195
2021-09-12,90600,1200
2021-09-13,90600,1200
2021-09-14,91200,1200
2021-09-15,90500,1200
2021-09-16,89100,1170
2021-09-17,89100,1170
2021-09-18,89100,1170
2021-09-19,88900,1135
2021-09-20,89200,1140
2021-09-21,90100,1165
2021-09-22,89600,1155
2021-09-23,89000,1160
2021-09-24,89000,1160
2021-09-25,89000,1150
2021-09-26,89300,1160
2021-09-27,89000,1155
2021-09-28,88900,1155
2021-09-29,88700,1120
2021-09-30,89600,1140
2021-10-01,89600,1140
2021-10-02,89800,1160
2021-10-03,89800,1160
2021-10-04,90300,1160
2021-10-05,89900,1160
2021-10-06,90400,1170
2021-10-07,90600,1170
2021-10-08,90600,1170
2021-10-09,90700,1175
2021-10-10,90600,1180
2021-10-11,90600,1180
2021-10-12,90600,1180
2021-10-13,90600,1180
2021-10-14,90600,1180
2021-10-15,90600,1180
2021-10-17,91300,1225
2021-10-18,91300,1225
2021-10-19,91400,1235
2021-10-20,91700,1260
2021-10-21,91700,1250
2021-10-22,91700,1250
2021-10-23,92100,1260
2021-10-24,92400,1265
2021-10-25,92600,1265
2021-10-26,92000,1250
2021-10-27,92400,1250
2021-10-28,92000,1245
2021-10-29,92000,1245
2021-10-30,91700,1240
2021-10-31,91800,1245
2021-11-01,92000,1250
2021-11-02,91500,1225
2021-11-03,91000,1225
2021-11-04,91000,1225
2021-11-05,91000,1225
2021-11-06,91000,1225
2021-11-07,92500,1250
2021-11-08,92300,1250
2021-11-09,92700,1250
2021-11-10,94000,1270
2021-11-11,94400,1285
2021-11-12,94400,1285
2021-11-13,94600,1295
2021-11-14,94300,1280
2021-11-15,94800,1290
2021-11-16,94300,1280
2021-11-17,94500,1280
2021-11-18,94400,1275
2021-11-19,94400,1275
2021-11-20,93700,1260
2021-11-21,93900,1270
2021-11-22,92300,1255
2021-11-23,91800,1225
2021-11-24,91700,1230
2021-11-25,91900,1225
2021-11-26,91900,1225
2021-11-27,91900,1225
2021-11-28,92000,1220
2021-11-29,91900,1205
2021-11-30,91500,1200
2021-12-01,91500,1190
2021-12-02,91300,1190
2021-12-04,92000,1200
2021-12-05,92000,1200
2021-12-06,91800,1190
2021-12-07,92300,1200
2021-12-08,92300,1200
2021-12-09,92200,1185
2021-12-10,92200,1185
2021-12-11,92500,1190
2021-12-12,92500,1190
2021-12-13,92800,1210
2021-12-14,92300,1210
2021-12-15,93000,1235
2021-12-16,94000,1250
2021-12-17,94000,1250
2021-12-18,93600,1245
2021-12-19,93800,1245
2021-12-20,93000,1235
2021-12-21,92600,1245
2021-12-22,93300,1260
2021-12-23,93100,1260
2021-12-24,93100,1260
2021-12-25,93100,1260
2021-12-26,93200,1250
2021-12-27,93000,1260
2021-12-28,93000,1260
2021-12-29,92100,1245
2021-12-30,92700,1260
2021-12-31,92700,1260
2022-01-01,93400,1270
2022-01-02,93100,1265
2022-01-03,92200,1250
2022-01-04,92800,1260
2022-01-05,92300,1235
2022-01-06,91600,1225
2022-01-07,91600,1225
2022-01-08,91600,1225
2022-01-09,91300,1220
2022-01-10,91600,1230
2022-01-11,92000,1235
2022-01-12,92500,1255
2022-01-13,92700,1260
2022-01-14,92700,1260
2022-01-15,92400,1250
2022-01-16,92500,1255
2022-01-17,92600,1255
2022-01-18,92700,1285
2022-01-19,93700,1315
2022-01-20,93800,1325
2022-01-21,93800,1325
2022-01-22,93500,1315
2022-01-23,93500,1315
2022-01-24,94000,1300
2022-01-25,94400,1300
2022-01-26,93500,1290
2022-01-27,92600,1265
2022-01-28,92600,1265
2022-01-29,92200,1250
2022-01-30,91800,1240
2022-01-31,91900,1240
2022-02-01,92200,1255
2022-02-02,92700,1255
2022-02-03,92500,1250
